sequence,image1,image2,image3,has_animal,mask_MOG2,mask_flow1,opticalflowGF_1,opticalflowGF_2,opticalflowGF_average
2,290716114012001a1116.JPG,290716114014001a1114.JPG,290716114014001a1115.JPG,1,2_mask_MOG2.png,2_mask_flow1.png,2_opticalflowGF_1.png,2_opticalflowGF_2.png,2_opticalflowGF_average.png
3,280716130614001a1111.JPG,280716130614001a1112.JPG,280716130614001a1113.JPG,0,3_mask_MOG2.png,3_mask_flow1.png,3_opticalflowGF_1.png,3_opticalflowGF_2.png,3_opticalflowGF_average.png
4,280716130526001a1113.JPG,280716130528001a1111.JPG,280716130528001a1112.JPG,0,4_mask_MOG2.png,4_mask_flow1.png,4_opticalflowGF_1.png,4_opticalflowGF_2.png,4_opticalflowGF_average.png
5,250716162756001a1113.JPG,250716162758001a1111.JPG,250716162758001a1112.JPG,0,5_mask_MOG2.png,5_mask_flow1.png,5_opticalflowGF_1.png,5_opticalflowGF_2.png,5_opticalflowGF_average.png
6,250716130638001a1113.JPG,250716130640001a1111.JPG,250716130640001a1112.JPG,0,6_mask_MOG2.png,6_mask_flow1.png,6_opticalflowGF_1.png,6_opticalflowGF_2.png,6_opticalflowGF_average.png
7,240716125716001a1113.JPG,240716125718001a1111.JPG,240716125718001a1112.JPG,0,7_mask_MOG2.png,7_mask_flow1.png,7_opticalflowGF_1.png,7_opticalflowGF_2.png,7_opticalflowGF_average.png
8,240716105058001a1111.JPG,240716105058001a1112.JPG,240716105058001a1113.JPG,0,8_mask_MOG2.png,8_mask_flow1.png,8_opticalflowGF_1.png,8_opticalflowGF_2.png,8_opticalflowGF_average.png
9,220816130314001a1114.JPG,220816130314001a1115.JPG,220816130314001a1116.JPG,0,9_mask_MOG2.png,9_mask_flow1.png,9_opticalflowGF_1.png,9_opticalflowGF_2.png,9_opticalflowGF_average.png
10,210816194946001a1111.JPG,210816194946001a1112.JPG,210816194946001a1113.JPG,0,10_mask_MOG2.png,10_mask_flow1.png,10_opticalflowGF_1.png,10_opticalflowGF_2.png,10_opticalflowGF_average.png
11,100816185652001a1111.JPG,100816185652001a1112.JPG,100816185652001a1113.JPG,1,11_mask_MOG2.png,11_mask_flow1.png,11_opticalflowGF_1.png,11_opticalflowGF_2.png,11_opticalflowGF_average.png
12,100816090812001a1111.JPG,100816090812001a1112.JPG,100816090812001a1113.JPG,1,12_mask_MOG2.png,12_mask_flow1.png,12_opticalflowGF_1.png,12_opticalflowGF_2.png,12_opticalflowGF_average.png
